model_id,model_name,model_type,product_category,training_date,training_start_date,training_end_date,model_parameters,evaluation_metrics,model_location,version,status,created_by,notes
68a07348-5e44-4773-96f9-34e3d8c2e28a,electronics_forecast_model,ARIMA_PLUS,Electronics,2026-02-19 01:39:04,2022-01-01,2024-02-29,"{""auto_arima"":true,""data_frequency"":""DAILY"",""holiday_region"":""US""}","{""confidence_level"":0.95,""horizon"":90}",playground-s-11-8124ae0d.retail_ml.electronics_forecast_model,v1.0,ACTIVE,ML Platform,Initial production model
e4074bb1-7ae1-4314-a4c1-9989d22c5eb9,home_garden_forecast_model,ARIMA_PLUS,Home_Garden,2026-02-19 01:39:04,2022-01-01,2024-02-29,"{""auto_arima"":true,""data_frequency"":""DAILY"",""holiday_region"":""US""}","{""confidence_level"":0.95,""horizon"":90}",playground-s-11-8124ae0d.retail_ml.home_garden_forecast_model,v1.0,ACTIVE,ML Platform,Initial production model
42c2a73c-85f8-4391-a948-6661f90a0442,apparel_forecast_model,ARIMA_PLUS,Apparel,2026-02-19 01:39:04,2022-01-01,2024-02-29,"{""auto_arima"":true,""data_frequency"":""DAILY"",""holiday_region"":""US""}","{""confidence_level"":0.95,""horizon"":90}",playground-s-11-8124ae0d.retail_ml.apparel_forecast_model,v1.0,ACTIVE,ML Platform,Initial production model
